127.0.0.1, 2014-06-11 13:41:40, GET, /admin/static/images/delete_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:40, GET, /admin/static/images/test_icon.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:41:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/default/edit/basic_rest/models/db.py, HTTP/1.1, 200, 0.042000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/css/typeahead.js-bootstrap.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/selection/active-line.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/display/fullscreen.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldcode.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/fold/foldgutter.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/fold/brace-fold.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/fold/xml-fold.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/fold/comment-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/addon/fold/indent-fold.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/codemirror/emmet.min.js, HTTP/1.1, 200, 0.002000
, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/js/ajax_editor.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/js/typeahead.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/js/hogan-2.0.0.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/images/files_toggle.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/_2.9.5/images/glyphicons-halflings.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/default/edit/basic_rest/models/db.py, HTTP/1.1, 200, 0.035000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/default/editor_sessions, HTTP/1.1, 200, 0.033000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/static/images/save_icon.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/default/todolist.load, HTTP/1.1, 200, 0.097000
127.0.0.1, 2014-06-11 13:42:19, POST, /admin/debug/list_breakpoints, HTTP/1.1, 200, 0.059000
127.0.0.1, 2014-06-11 13:42:19, GET, /admin/default/files_menu, HTTP/1.1, 200, 0.128000
127.0.0.1, 2014-06-11 13:42:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2014-06-11 13:42:26, GET, /admin/default/design/basic_rest, HTTP/1.1, 200, 0.089000
127.0.0.1, 2014-06-11 13:42:26, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2014-06-11 13:42:30, GET, /basic_rest/appadmin/index, HTTP/1.1, 200, 1.744000
127.0.0.1, 2014-06-11 13:42:30, GET, /basic_rest/static/js/modernizr.custom.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-11 13:42:30, GET, /basic_rest/static/css/calendar.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-11 13:42:30, GET, /basic_rest/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-06-11 13:42:30, GET, /basic_rest/static/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.003000
127.0.0.1, 2014-06-11 13:42:30, GET, /basic_rest/static/css/web2py.css, HTTP/1.1, 200, 0.004000
0.003000
127.0.0.1, 2014-06-11 13:42:30, GET, /basic_rest/static/js/jquery.js, HTTP/1.1, 200, 0.000000
